ClusteringId,CenterId,NumPoints,PredictionStrength
56,8,5211,0.4595
56,9,16648,0.9242
56,10,911,0.3340
56,11,2418,0.6401
56,12,12391,0.9774
56,13,8745,0.5933
56,14,17015,0.7595
56,15,3477,0.9643
56,16,4163,0.9919
56,17,178,0.4272
56,18,13073,0.8813
56,19,16494,0.9112
56,20,20616,0.8814
56,21,4738,0.8013
56,22,4571,0.4991
56,23,13060,0.8919
56,24,7224,0.9072
57,0,7217,0.8075
57,1,15580,0.6474
57,2,842,0.9446
57,3,10058,0.4552
57,4,23425,0.9600
57,5,5231,0.7451
57,6,1609,0.7556
57,7,3945,0.9605
57,8,12698,0.9947
57,9,893,0.5364
57,10,10720,0.9813
57,11,4675,0.2705
57,12,9461,0.8357
57,13,21138,0.8195
57,14,5447,0.8549
57,15,11989,0.4543
57,16,256,0.4677
57,17,3599,0.5217
57,18,7604,0.4738
57,19,19495,0.8104
57,20,18942,0.8590
57,21,8898,0.9522
57,22,3693,0.9935
57,23,15682,0.7776
57,24,2666,0.9821
58,0,18341,0.5010
58,1,6915,0.6462
58,2,3575,0.9366
58,3,2640,0.3048
58,4,38601,0.3128
58,5,2631,0.9467
58,6,10048,0.7638
58,7,20972,0.4197
58,8,13343,0.7359
58,9,149,0.5094
58,10,866,0.5136
58,11,9979,0.3106
58,12,2797,0.2455
58,13,21430,0.5857
58,14,4590,0.9411
58,15,13453,0.5634
58,16,1521,1.0000
58,17,10915,0.4865
58,18,2147,0.4142
58,19,1773,0.3977
58,20,3080,0.7037
58,21,12201,0.6341
58,22,9324,0.8150
58,23,4386,0.5621
58,24,10086,0.6899
59,0,18554,0.6670
59,1,12214,0.9011
59,2,10867,0.5063
59,3,9877,0.5196
59,4,18245,0.6490
59,5,4411,0.5350
59,6,6558,0.2929
59,7,4441,0.3533
59,8,15422,0.8012
59,9,19017,0.8708
59,10,13330,0.7794
59,11,11501,0.8560
59,12,1606,0.9443
59,13,24508,0.6925
59,14,4214,0.6915
59,15,613,0.7930
59,16,5353,0.5899
59,17,3186,0.8832
59,18,9751,0.3256
59,19,8268,0.8415
59,20,3101,0.6715
59,21,5121,0.2580
59,22,1317,0.9151
59,23,3553,0.3059
59,24,10735,0.4358
60,0,38583,0.3557
60,1,3602,0.6564
60,2,5313,0.7883
60,3,1,1.0000
60,4,4689,0.3102
60,5,4188,0.9933
60,6,5258,0.4481
60,7,4483,0.7524
60,8,9033,0.7847
60,9,4506,0.5505
60,10,8977,0.5911
60,11,20116,0.7961
60,12,2156,0.5697
60,13,3252,0.9080
60,14,20424,0.6700
60,15,7272,0.2154
60,16,12061,0.8817
60,17,3971,0.6954
60,18,14393,0.8831
60,19,5094,0.8705
60,20,12450,0.7177
60,21,2907,0.3864
60,22,11684,0.5580
60,23,20029,0.5299
60,24,1321,0.9018
